Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Panda 1.2 e;Fiat Panda 1.3 d;
0;14800.0;10600.0;12390.0;14690.0;9350.0;11600.0;
1000;14859.643;10663.894;12462.228;14742.029;9418.061;11653.298;
2000;14919.286;10727.788;12534.456;14794.058;9486.122;11706.596;
3000;14978.929;10791.682;12606.684;14846.087;9554.183;11759.894;
4000;15038.572;10855.576;12678.912;14898.116;9622.244;11813.192;
5000;15098.215;10919.47;12751.14;14950.145;9690.305;11866.49;
6000;15157.858;10983.364;12823.368;15002.174;9758.366;11919.788;
7000;15217.501;11047.258;12895.596;15054.203;9826.427;11973.086;
8000;15277.144;11111.152;12967.824;15106.232;9894.488;12026.384;
9000;15336.787;11175.046;13040.052;15158.261;9962.549;12079.682;
10000;15396.43;11238.94;13112.28;15210.29;10030.61;12132.98;
11000;15456.073;11302.834;13184.508;15262.319;10098.671;12186.278;
12000;15515.716;11366.728;13256.736;15314.348;10166.732;12239.576;
13000;15575.359;11430.622;13328.964;15366.377;10234.793;12292.874;
14000;15635.002;11494.516;13401.192;15418.406;10302.854;12346.172;
15000;15814.645;11668.41;13473.42;15470.435;10370.915;12399.47;
16000;15874.288;11732.304;13545.648;15522.464;10438.976;12452.768;
17000;15933.931;11796.198;13617.876;15574.493;10507.037;12506.066;
18000;15993.574;11860.092;13690.104;15626.522;10575.098;12559.364;
19000;16053.217;11923.986;13762.332;15678.551;10643.159;12612.662;
20000;16112.86;11987.88;13834.56;15730.58;10711.22;12665.96;
21000;16172.503;12051.774;13906.788;15782.609;10779.281;12719.258;
22000;16232.146;12115.668;13979.016;15834.638;10847.342;12772.556;
23000;16291.789;12179.562;14051.244;15886.667;10915.403;12825.854;
24000;16351.432;12243.456;14123.472;15938.696;10983.464;12879.152;
25000;16411.075;12307.35;14195.7;15990.725;11051.525;12932.45;
26000;16470.718;12371.244;14267.928;16042.754;11119.586;12985.748;
27000;16530.361;12435.138;14340.156;16094.783;11187.647;13039.046;
28000;16590.004;12499.032;14412.384;16146.812;11255.708;13092.344;
29000;16649.647;12562.926;14484.612;16198.841;11323.769;13145.642;
30000;16829.29;12736.82;14556.84;16250.87;11391.83;13198.94;
31000;16888.933;12800.714;14629.068;16302.899;11459.891;13252.238;
32000;16948.576;12864.608;14701.296;16354.928;11527.952;13305.536;
33000;17008.219;12928.502;14773.524;16406.957;11596.013;13358.834;
34000;17067.862;12992.396;14845.752;16458.986;11664.074;13412.132;
35000;17127.505;13056.29;14917.98;16511.015;11732.135;13465.43;
36000;17187.148;13120.184;14990.208;16563.044;11800.196;13518.728;
37000;17246.791;13184.078;15062.436;16615.073;11868.257;13572.026;
38000;17306.434;13247.972;15134.664;16667.102;11936.318;13625.324;
39000;17366.077;13311.866;15206.892;16719.131;12004.379;13678.622;
40000;17425.72;13375.76;15279.12;16771.16;12072.44;13731.92;
41000;17485.363;13439.654;15351.348;16823.189;12140.501;13785.218;
42000;17545.006;13503.548;15423.576;16875.218;12208.562;13838.516;
43000;17604.649;13567.442;15495.804;16927.247;12276.623;13891.814;
44000;17664.292;13631.336;15568.032;16979.276;12344.684;13945.112;
45000;17843.935;13805.23;15640.26;17031.305;12412.745;13998.41;
46000;17903.578;13869.124;15712.488;17083.334;12480.806;14051.708;
47000;18497.221;14313.018;15784.716;17135.363;12548.867;14105.006;
48000;18556.864;14376.912;15856.944;17187.392;12616.928;14158.304;
49000;18616.507;14440.806;15929.172;17239.421;12684.989;14211.602;
50000;18676.15;14504.7;16001.4;17291.45;12753.05;14264.9;
51000;18735.793;14568.594;16073.628;17343.479;12821.111;14318.198;
52000;18795.436;14632.488;16145.856;17395.508;12889.172;14371.496;
53000;18855.079;14696.382;16218.084;17447.537;12957.233;14424.794;
54000;18914.722;14760.276;16290.312;17499.566;13025.294;14478.092;
55000;18974.365;14824.17;16362.54;17551.595;13093.355;14531.39;
56000;19034.008;14888.064;16434.768;17603.624;13161.416;14584.688;
57000;19093.651;14951.958;16506.996;17655.653;13229.477;14637.986;
58000;19153.294;15015.852;16579.224;17707.682;13297.538;14691.284;
59000;19212.937;15079.746;16651.452;17759.711;13365.599;14744.582;
60000;19392.58;15253.64;16723.68;17811.74;13433.66;14797.88;
61000;19452.223;15317.534;16795.908;17863.769;13501.721;14851.178;
62000;19511.866;15381.428;16868.136;17915.798;13569.782;14904.476;
63000;19571.509;15445.322;16940.364;17967.827;13637.843;14957.774;
64000;19631.152;15509.216;17012.592;18019.856;13705.904;15011.072;
65000;19690.795;15573.11;17084.82;18071.885;13773.965;15064.37;
66000;19750.438;15637.004;17157.048;18123.914;13842.026;15117.668;
67000;19810.081;15700.898;17229.276;18175.943;13910.087;15170.966;
68000;19869.724;15764.792;17301.504;18227.972;13978.148;15224.264;
69000;19929.367;15828.686;17373.732;18280.001;14046.209;15277.562;
70000;19989.01;15892.58;17445.96;18332.03;14114.27;15330.86;
71000;20048.653;15956.474;17518.188;18384.059;14182.331;15384.158;
72000;20108.296;16020.368;17590.416;18436.088;14250.392;15437.456;
73000;20167.939;16084.262;17662.644;18488.117;14318.453;15490.754;
74000;20227.582;16148.156;17734.872;18540.146;14386.514;15544.052;
75000;20407.225;16322.05;17807.1;18592.175;14454.575;15597.35;
76000;20466.868;16385.944;17879.328;18644.204;14522.636;15650.648;
77000;20526.511;16449.838;17951.556;18696.233;14590.697;15703.946;
78000;20586.154;16513.732;18023.784;18748.262;14658.758;15757.244;
79000;20645.797;16577.626;18096.012;18800.291;14726.819;15810.542;
80000;20705.44;16641.52;18168.24;18852.32;14794.88;15863.84;
81000;20765.083;16705.414;18240.468;18904.349;14862.941;15917.138;
82000;20824.726;16769.308;18312.696;18956.378;14931.002;15970.436;
83000;20884.369;16833.202;18384.924;19008.407;14999.063;16023.734;
84000;20944.012;16897.096;18457.152;19060.436;15067.124;16077.032;
85000;21003.655;16960.99;18529.38;19112.465;15135.185;16130.33;
86000;21063.298;17024.884;18601.608;19164.494;15203.246;16183.628;
87000;21122.941;17088.778;18673.836;19216.523;15271.307;16236.926;
88000;21182.584;17152.672;18746.064;19268.552;15339.368;16290.224;
89000;21242.227;17216.566;18818.292;19320.581;15407.429;16343.522;
90000;22171.87;17940.46;18890.52;19372.61;15475.49;16396.82;
91000;22231.513;18004.354;18962.748;19424.639;15543.551;16450.118;
92000;22291.156;18068.248;19034.976;19476.668;15611.612;16503.416;
93000;22350.799;18132.142;19107.204;19528.697;15679.673;16556.714;
94000;22944.442;18576.036;19179.432;19580.726;15747.734;16610.012;
95000;23004.085;18639.93;19251.66;19632.755;15815.795;16663.31;
96000;23063.728;18703.824;19323.888;19684.784;15883.856;16716.608;
97000;23123.371;18767.718;19396.116;19736.813;15951.917;16769.906;
98000;23183.014;18831.612;19468.344;19788.842;16019.978;16823.204;
99000;23242.657;18895.506;19540.572;19840.871;16088.039;16876.502;
100000;23302.3;18959.4;19612.8;19892.9;16156.1;16929.8;
101000;23361.943;19023.294;19685.028;19944.929;16224.161;16983.098;
102000;23421.586;19087.188;19757.256;19996.958;16292.222;17036.396;
103000;23481.229;19151.082;19829.484;20048.987;16360.283;17089.694;
104000;23540.872;19214.976;19901.712;20101.016;16428.344;17142.992;
105000;23720.515;19388.87;19973.94;20153.045;16496.405;17196.29;
106000;23780.158;19452.764;20046.168;20205.074;16564.466;17249.588;
107000;23839.801;19516.658;20118.396;20257.103;16632.527;17302.886;
108000;23899.444;19580.552;20190.624;20309.132;16700.588;17356.184;
109000;23959.087;19644.446;20262.852;20361.161;16768.649;17409.482;
110000;24018.73;19708.34;20335.08;20413.19;16836.71;17462.78;
111000;24078.373;19772.234;20407.308;20465.219;16904.771;17516.078;
112000;24138.016;19836.128;20479.536;20517.248;16972.832;17569.376;
113000;24197.659;19900.022;20551.764;20569.277;17040.893;17622.674;
114000;24257.302;19963.916;20623.992;20621.306;17108.954;17675.972;
115000;24316.945;20027.81;20696.22;20673.335;17177.015;17729.27;
116000;24376.588;20091.704;20768.448;20725.364;17245.076;17782.568;
117000;24436.231;20155.598;20840.676;20777.393;17313.137;17835.866;
118000;24495.874;20219.492;20912.904;20829.422;17381.198;17889.164;
119000;24555.517;20283.386;20985.132;20881.451;17449.259;17942.462;
120000;24735.16;20457.28;21057.36;20933.48;17517.32;17995.76;
121000;24794.803;20521.174;21129.588;20985.509;17585.381;18049.058;
122000;24854.446;20585.068;21201.816;21037.538;17653.442;18102.356;
123000;24914.089;20648.962;21274.044;21089.567;17721.503;18155.654;
124000;24973.732;20712.856;21346.272;21141.596;17789.564;18208.952;
125000;25033.375;20776.75;21418.5;21193.625;17857.625;18262.25;
126000;25093.018;20840.644;21490.728;21245.654;17925.686;18315.548;
127000;25152.661;20904.538;21562.956;21297.683;17993.747;18368.846;
128000;25212.304;20968.432;21635.184;21349.712;18061.808;18422.144;
129000;25271.947;21032.326;21707.412;21401.741;18129.869;18475.442;
130000;25331.59;21096.22;21779.64;21453.77;18197.93;18528.74;
131000;25391.233;21160.114;21851.868;21505.799;18265.991;18582.038;
132000;25450.876;21224.008;21924.096;21557.828;18334.052;18635.336;
133000;25510.519;21287.902;21996.324;21609.857;18402.113;18688.634;
134000;25570.162;21351.796;22068.552;21661.886;18470.174;18741.932;
135000;25749.805;21525.69;22140.78;21713.915;18538.235;18795.23;
136000;25809.448;21589.584;22213.008;21765.944;18606.296;18848.528;
137000;25869.091;21653.478;22285.236;21817.973;18674.357;18901.826;
138000;25928.734;21717.372;22357.464;21870.002;18742.418;18955.124;
139000;25988.377;21781.266;22429.692;21922.031;18810.479;19008.422;
140000;26048.02;21845.16;22501.92;21974.06;18878.54;19061.72;
141000;26641.663;22289.054;22574.148;22026.089;18946.601;19115.018;
142000;26701.306;22352.948;22646.376;22078.118;19014.662;19168.316;
143000;26760.949;22416.842;22718.604;22130.147;19082.723;19221.614;
144000;26820.592;22480.736;22790.832;22182.176;19150.784;19274.912;
145000;26880.235;22544.63;22863.06;22234.205;19218.845;19328.21;
146000;26939.878;22608.524;22935.288;22286.234;19286.906;19381.508;
147000;26999.521;22672.418;23007.516;22338.263;19354.967;19434.806;
148000;27059.164;22736.312;23079.744;22390.292;19423.028;19488.104;
149000;27118.807;22800.206;23151.972;22442.321;19491.089;19541.402;
150000;27298.45;22974.1;23224.2;22494.35;19559.15;19594.7;
151000;27358.093;23037.994;23296.428;22546.379;19627.211;19647.998;
152000;27417.736;23101.888;23368.656;22598.408;19695.272;19701.296;
153000;27477.379;23165.782;23440.884;22650.437;19763.333;19754.594;
154000;27537.022;23229.676;23513.112;22702.466;19831.394;19807.892;
155000;27596.665;23293.57;23585.34;22754.495;19899.455;19861.19;
156000;27656.308;23357.464;23657.568;22806.524;19967.516;19914.488;
157000;27715.951;23421.358;23729.796;22858.553;20035.577;19967.786;
158000;27775.594;23485.252;23802.024;22910.582;20103.638;20021.084;
159000;27835.237;23549.146;23874.252;22962.611;20171.699;20074.382;
160000;27894.88;23613.04;23946.48;23014.64;20239.76;20127.68;
161000;27954.523;23676.934;24018.708;23066.669;20307.821;20180.978;
162000;28014.166;23740.828;24090.936;23118.698;20375.882;20234.276;
163000;28073.809;23804.722;24163.164;23170.727;20443.943;20287.574;
164000;28133.452;23868.616;24235.392;23222.756;20512.004;20340.872;
165000;28313.095;24042.51;24307.62;23274.785;20580.065;20394.17;
166000;28372.738;24106.404;24379.848;23326.814;20648.126;20447.468;
167000;28432.381;24170.298;24452.076;23378.843;20716.187;20500.766;
168000;28492.024;24234.192;24524.304;23430.872;20784.248;20554.064;
169000;28551.667;24298.086;24596.532;23482.901;20852.309;20607.362;
170000;28611.31;24361.98;24668.76;23534.93;20920.37;20660.66;
171000;28670.953;24425.874;24740.988;23586.959;20988.431;20713.958;
172000;28730.596;24489.768;24813.216;23638.988;21056.492;20767.256;
173000;28790.239;24553.662;24885.444;23691.017;21124.553;20820.554;
174000;28849.882;24617.556;24957.672;23743.046;21192.614;20873.852;
175000;28909.525;24681.45;25029.9;23795.075;21260.675;20927.15;
176000;28969.168;24745.344;25102.128;23847.104;21328.736;20980.448;
177000;29028.811;24809.238;25174.356;23899.133;21396.797;21033.746;
178000;29088.454;24873.132;25246.584;23951.162;21464.858;21087.044;
179000;29148.097;24937.026;25318.812;24003.191;21532.919;21140.342;
180000;30077.74;25660.92;25391.04;24055.22;21600.98;21193.64;
181000;30137.383;25724.814;25463.268;24107.249;21669.041;21246.938;
182000;30197.026;25788.708;25535.496;24159.278;21737.102;21300.236;
183000;30256.669;25852.602;25607.724;24211.307;21805.163;21353.534;
184000;30316.312;25916.496;25679.952;24263.336;21873.224;21406.832;
185000;30375.955;25980.39;25752.18;24315.365;21941.285;21460.13;
186000;30435.598;26044.284;25824.408;24367.394;22009.346;21513.428;
187000;30495.241;26108.178;25896.636;24419.423;22077.407;21566.726;
188000;31088.884;26552.072;25968.864;24471.452;22145.468;21620.024;
189000;31148.527;26615.966;26041.092;24523.481;22213.529;21673.322;
190000;31208.17;26679.86;26113.32;24575.51;22281.59;21726.62;
191000;31267.813;26743.754;26185.548;24627.539;22349.651;21779.918;
192000;31327.456;26807.648;26257.776;24679.568;22417.712;21833.216;
193000;31387.099;26871.542;26330.004;24731.597;22485.773;21886.514;
194000;31446.742;26935.436;26402.232;24783.626;22553.834;21939.812;
195000;31626.385;27109.33;26474.46;24835.655;22621.895;21993.11;
196000;31686.028;27173.224;26546.688;24887.684;22689.956;22046.408;
197000;31745.671;27237.118;26618.916;24939.713;22758.017;22099.706;
198000;31805.314;27301.012;26691.144;24991.742;22826.078;22153.004;
199000;31864.957;27364.906;26763.372;25043.771;22894.139;22206.302;
200000;31924.6;27428.8;26835.6;25095.8;22962.2;22259.6;
201000;31984.243;27492.694;26907.828;25147.829;23030.261;22312.898;
202000;32043.886;27556.588;26980.056;25199.858;23098.322;22366.196;
203000;32103.529;27620.482;27052.284;25251.887;23166.383;22419.494;
204000;32163.172;27684.376;27124.512;25303.916;23234.444;22472.792;
205000;32222.815;27748.27;27196.74;25355.945;23302.505;22526.09;
206000;32282.458;27812.164;27268.968;25407.974;23370.566;22579.388;
207000;32342.101;27876.058;27341.196;25460.003;23438.627;22632.686;
208000;32401.744;27939.952;27413.424;25512.032;23506.688;22685.984;
209000;32461.387;28003.846;27485.652;25564.061;23574.749;22739.282;
210000;32641.03;28177.74;27557.88;25616.09;23642.81;22792.58;
211000;32700.673;28241.634;27630.108;25668.119;23710.871;22845.878;
212000;32760.316;28305.528;27702.336;25720.148;23778.932;22899.176;
213000;32819.959;28369.422;27774.564;25772.177;23846.993;22952.474;
214000;32879.602;28433.316;27846.792;25824.206;23915.054;23005.772;
215000;32939.245;28497.21;27919.02;25876.235;23983.115;23059.07;
216000;32998.888;28561.104;27991.248;25928.264;24051.176;23112.368;
217000;33058.531;28624.998;28063.476;25980.293;24119.237;23165.666;
218000;33118.174;28688.892;28135.704;26032.322;24187.298;23218.964;
219000;33177.817;28752.786;28207.932;26084.351;24255.359;23272.262;
220000;33237.46;28816.68;28280.16;26136.38;24323.42;23325.56;
221000;33297.103;28880.574;28352.388;26188.409;24391.481;23378.858;
222000;33356.746;28944.468;28424.616;26240.438;24459.542;23432.156;
223000;33416.389;29008.362;28496.844;26292.467;24527.603;23485.454;
224000;33476.032;29072.256;28569.072;26344.496;24595.664;23538.752;
225000;33655.675;29246.15;28641.3;26396.525;24663.725;23592.05;
226000;33715.318;29310.044;28713.528;26448.554;24731.786;23645.348;
227000;33774.961;29373.938;28785.756;26500.583;24799.847;23698.646;
228000;33834.604;29437.832;28857.984;26552.612;24867.908;23751.944;
229000;33894.247;29501.726;28930.212;26604.641;24935.969;23805.242;
230000;33953.89;29565.62;29002.44;26656.67;25004.03;23858.54;
231000;34013.533;29629.514;29074.668;26708.699;25072.091;23911.838;
232000;34073.176;29693.408;29146.896;26760.728;25140.152;23965.136;
233000;34132.819;29757.302;29219.124;26812.757;25208.213;24018.434;
234000;34192.462;29821.196;29291.352;26864.786;25276.274;24071.732;
235000;34786.105;30265.09;29363.58;26916.815;25344.335;24125.03;
236000;34845.748;30328.984;29435.808;26968.844;25412.396;24178.328;
237000;34905.391;30392.878;29508.036;27020.873;25480.457;24231.626;
238000;34965.034;30456.772;29580.264;27072.902;25548.518;24284.924;
239000;35024.677;30520.666;29652.492;27124.931;25616.579;24338.222;
240000;35204.32;30694.56;29724.72;27176.96;25684.64;24391.52;
241000;35263.963;30758.454;29796.948;27228.989;25752.701;24444.818;
242000;35323.606;30822.348;29869.176;27281.018;25820.762;24498.116;
243000;35383.249;30886.242;29941.404;27333.047;25888.823;24551.414;
244000;35442.892;30950.136;30013.632;27385.076;25956.884;24604.712;
245000;35502.535;31014.03;30085.86;27437.105;26024.945;24658.01;
246000;35562.178;31077.924;30158.088;27489.134;26093.006;24711.308;
247000;35621.821;31141.818;30230.316;27541.163;26161.067;24764.606;
248000;35681.464;31205.712;30302.544;27593.192;26229.128;24817.904;
249000;35741.107;31269.606;30374.772;27645.221;26297.189;24871.202;
250000;35800.75;31333.5;30447.0;27697.25;26365.25;24924.5;
251000;35860.393;31397.394;30519.228;27749.279;26433.311;24977.798;
252000;35920.036;31461.288;30591.456;27801.308;26501.372;25031.096;
253000;35979.679;31525.182;30663.684;27853.337;26569.433;25084.394;
254000;36039.322;31589.076;30735.912;27905.366;26637.494;25137.692;
255000;36218.965;31762.97;30808.14;27957.395;26705.555;25190.99;
256000;36278.608;31826.864;30880.368;28009.424;26773.616;25244.288;
257000;36338.251;31890.758;30952.596;28061.453;26841.677;25297.586;
258000;36397.894;31954.652;31024.824;28113.482;26909.738;25350.884;
259000;36457.537;32018.546;31097.052;28165.511;26977.799;25404.182;
260000;36517.18;32082.44;31169.28;28217.54;27045.86;25457.48;
261000;36576.823;32146.334;31241.508;28269.569;27113.921;25510.778;
262000;36636.466;32210.228;31313.736;28321.598;27181.982;25564.076;
263000;36696.109;32274.122;31385.964;28373.627;27250.043;25617.374;
264000;36755.752;32338.016;31458.192;28425.656;27318.104;25670.672;
265000;36815.395;32401.91;31530.42;28477.685;27386.165;25723.97;
266000;36875.038;32465.804;31602.648;28529.714;27454.226;25777.268;
267000;36934.681;32529.698;31674.876;28581.743;27522.287;25830.566;
268000;36994.324;32593.592;31747.104;28633.772;27590.348;25883.864;
269000;37053.967;32657.486;31819.332;28685.801;27658.409;25937.162;
270000;37983.61;33381.38;31891.56;28737.83;27726.47;25990.46;
271000;38043.253;33445.274;31963.788;28789.859;27794.531;26043.758;
272000;38102.896;33509.168;32036.016;28841.888;27862.592;26097.056;
273000;38162.539;33573.062;32108.244;28893.917;27930.653;26150.354;
274000;38222.182;33636.956;32180.472;28945.946;27998.714;26203.652;
275000;38281.825;33700.85;32252.7;28997.975;28066.775;26256.95;
276000;38341.468;33764.744;32324.928;29050.004;28134.836;26310.248;
277000;38401.111;33828.638;32397.156;29102.033;28202.897;26363.546;
278000;38460.754;33892.532;32469.384;29154.062;28270.958;26416.844;
279000;38520.397;33956.426;32541.612;29206.091;28339.019;26470.142;
280000;38580.04;34020.32;32613.84;29258.12;28407.08;26523.44;
281000;38639.683;34084.214;32686.068;29310.149;28475.141;26576.738;
282000;39233.326;34528.108;32758.296;29362.178;28543.202;26630.036;
283000;39292.969;34592.002;32830.524;29414.207;28611.263;26683.334;
284000;39352.612;34655.896;32902.752;29466.236;28679.324;26736.632;
285000;39532.255;34829.79;32974.98;29518.265;28747.385;26789.93;
286000;39591.898;34893.684;33047.208;29570.294;28815.446;26843.228;
287000;39651.541;34957.578;33119.436;29622.323;28883.507;26896.526;
288000;39711.184;35021.472;33191.664;29674.352;28951.568;26949.824;
289000;39770.827;35085.366;33263.892;29726.381;29019.629;27003.122;
290000;39830.47;35149.26;33336.12;29778.41;29087.69;27056.42;
291000;39890.113;35213.154;33408.348;29830.439;29155.751;27109.718;
292000;39949.756;35277.048;33480.576;29882.468;29223.812;27163.016;
293000;40009.399;35340.942;33552.804;29934.497;29291.873;27216.314;
294000;40069.042;35404.836;33625.032;29986.526;29359.934;27269.612;
295000;40128.685;35468.73;33697.26;30038.555;29427.995;27322.91;
296000;40188.328;35532.624;33769.488;30090.584;29496.056;27376.208;
297000;40247.971;35596.518;33841.716;30142.613;29564.117;27429.506;
298000;40307.614;35660.412;33913.944;30194.642;29632.178;27482.804;
299000;40367.257;35724.306;33986.172;30246.671;29700.239;27536.102;
300000;40546.9;35898.2;34058.4;30298.7;29768.3;27589.4;
